Height (m)  Dust Ext (/m)   Cloud Ext (/m)
100.000   3.1294855e-05   3.2059190e-05
300.000   3.1294855e-05   7.9957565e-05
500.000   3.1294855e-05   8.3225641e-05
700.000   3.1294855e-05   8.0588551e-05
900.000   3.1294855e-05   7.2730721e-05
1100.00   3.0811787e-05   7.1533568e-05
1300.00   3.0561575e-05   7.6021400e-05
1500.00   3.0501717e-05   8.2230869e-05
1700.00   3.0111334e-05   9.1023684e-05
1900.00   2.9589461e-05   9.9999997e-05
2100.00   2.9347530e-05   0.00010758085
2300.00   2.8510683e-05   0.00010700640
2500.00   2.8575944e-05   0.00011259690
2700.00   2.8355257e-05   0.00012918335
2900.00   2.7940317e-05   0.00013506246
3100.00   2.7447082e-05   0.00012661086
3300.00   2.7007190e-05   9.8656169e-05
3500.00   2.6474184e-05   9.7108480e-05
3700.00   2.6113241e-05   0.00011085041
3900.00   2.5613874e-05   0.00011042297
4100.00   2.5234575e-05   7.0324341e-05
4300.00   2.4727254e-05   5.3271584e-05
4500.00   2.4382452e-05   5.3406491e-05
4700.00   2.3787312e-05   5.7351138e-05
4900.00   2.3628752e-05   5.9203056e-05
5100.00   2.3496743e-05   4.5029419e-05
5300.00   2.3443186e-05   4.6838058e-05
5500.00   2.3287531e-05   3.6895721e-05
5700.00   2.3943525e-05   2.0978180e-05
5900.00   2.3677403e-05   1.1138828e-05
6100.00   2.3306596e-05   1.0000000e-10
6300.00   2.3674164e-05   1.0000000e-10
6500.00   2.2975047e-05   1.0000000e-10
6700.00   2.2754468e-05   1.0000000e-10
6900.00   2.1631144e-05   1.0000000e-10
7100.00   2.1300652e-05   1.0000000e-10
7300.00   2.0914567e-05   1.0000000e-10
7500.00   2.0399971e-05   1.0000000e-10
7700.00   1.9482070e-05   1.0000000e-10
7900.00   1.7527223e-05   1.0000000e-10
8100.00   1.7118813e-05   1.0000000e-10
8300.00   1.6784048e-05   1.0000000e-10
8500.00   1.7053600e-05   1.0000000e-10
8700.00   1.6474181e-05   1.0000000e-10
8900.00   1.6627162e-05   1.0000000e-10
9100.00   1.5758019e-05   1.0000000e-10
9300.00   1.4191176e-05   1.0000000e-10
9500.00   1.3879608e-05   1.0000000e-10
9700.00   1.2653472e-05   1.0000000e-10
9900.00   1.1221657e-05   1.0000000e-10
